Date_Time,XRS_B_Flux,Flare_Class
2010-09-19 07:10:00,4.47305666284592e-07,
2010-09-19 07:16:00,5.07669938087929e-07,B5.0
2010-09-19 07:23:00,4.650853213661321e-07,
2010-09-19 07:28:00,4.443207615167921e-07,
2010-09-20 17:45:00,2.6708366362981906e-07,
2010-09-20 17:48:00,3.757298827622435e-07,B3.7
2010-09-20 17:54:00,3.0397103500945377e-07,
2010-09-20 18:08:00,2.9268031198625977e-07,
2010-09-20 18:14:00,5.433344654193206e-07,B5.4
2010-09-20 18:18:00,4.030785305531026e-07,
2010-09-20 18:44:00,2.8447396971387207e-07,
2010-09-20 19:11:00,3.026429737928993e-07,
2010-09-20 19:17:00,4.33719236525576e-07,B4.3
2010-09-20 19:21:00,4.0166395365304197e-07,
2010-09-20 19:26:00,4.733016680802393e-07,B4.7
2010-09-20 19:30:00,4.1451201582276553e-07,
2010-09-20 19:32:00,4.0646574461788987e-07,
2010-09-20 19:39:00,7.726617354819609e-07,B7.7
2010-09-20 20:43:00,5.94644575357961e-07,
2010-09-20 21:03:00,1.9436356524238363e-06,C1.9
2010-09-20 21:18:00,1.2266657449799823e-06,
2010-09-20 21:56:00,5.603960175903921e-07,
2010-09-20 21:57:00,5.336486879059521e-07,
2010-09-20 22:04:00,7.655628451175289e-07,B7.6
2010-09-20 22:08:00,6.115157589192677e-07,
2010-09-20 22:11:00,5.248237471278117e-07,
2010-09-20 22:16:00,4.7343144160549855e-07,
2010-09-20 22:25:00,1.5264540706994012e-06,C1.5
2010-09-20 22:29:00,4.6824030164316355e-07,
2010-09-20 22:30:00,4.6542842824237596e-07,
2010-09-20 23:33:00,4.826457029594167e-07,
2010-09-20 23:43:00,1.2360097798591596e-06,C1.2
2010-09-20 23:47:00,6.368225626829371e-07,
2010-09-21 00:00:00,5.059766294834844e-07,
2010-09-21 07:17:00,7.718325036876195e-07,
2010-09-21 07:31:00,1.7508814380562399e-06,C1.7
2010-09-21 07:33:00,1.6939086435741046e-06,
2010-09-21 07:54:00,2.1956323053018423e-06,C2.1
2010-09-21 08:12:00,1.9372735096112592e-06,
2010-09-21 08:30:00,1.6885877585082198e-06,
2010-09-21 17:51:00,3.1864601623965427e-07,
2010-09-21 18:01:00,6.354526362883917e-07,B6.3
2010-09-21 18:13:00,4.494627319218125e-07,
2010-09-21 18:40:00,3.0644685011793626e-07,
2010-09-22 03:46:00,2.088245310005732e-07,
2010-09-22 03:53:00,3.913579860181926e-07,B3.9
2010-09-22 03:58:00,2.9428798598019057e-07,
2010-09-22 04:28:00,3.1894589369585447e-07,
2010-09-22 05:06:00,1.2946205742991879e-06,C1.2
2010-09-22 14:30:00,2.0188571170365321e-07,
2010-09-22 14:42:00,3.875943832554185e-07,B3.8
2010-09-22 14:59:00,2.828415404110274e-07,
2010-09-22 19:49:00,1.9760302905069693e-07,
